Year,Month,Polling,Con,Lab,LD,Lab good,Govt good,Govt bad,Lab bad,Con good,Con bad,SDP,Green,Lab net,LD good,Con Best PM,Lab Best PM,LD Best PM,LD bad,Con net,M,F,M.1,F.1,M.2,F.2,UKIP good,UKIP bad,Grn good,Grn bad,UKIP Best PM,UKIP,TIG/CUK,BXP,LD net,CUK good,CUK bad,BXP good,BXP bad,BXP Best PM,BXP/Reform,Ukip,BXP/Ref good,BXP/Ref bad,Green Best PM,BXP/Ref Best PM
,Feb,Gallup,44.0,46.0,9.0,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,Gallup,44.5,47.5,7.0,,,,,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,Gallup,43.0,48.0,8.0,,34.0,43.0,,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,Gallup,43.0,47.0,9.0,,40.0,45.0,,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun,Gallup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul,Gallup,42.0,49.0,8.0,,36.0,46.0,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug,Gallup,43.5,49.5,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep,Gallup,43.0,46.5,10.0,,,,,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Oct,Gallup,42.5,47.0,9.5,,,,,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nov,Gallup,46.0,45.0,8.0,,,,,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nov,Gallup,45.0,46.0,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dec,Gallup,45.0,46.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957.0,Jan,Gallup,43.5,48.5,7.0,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Feb,Gallup,42.0,48.0,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mar,Gallup,40.0,51.5,7.5,,,,,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,Gallup,41.0,51.0,7.0,,,,,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun,Gallup,41.5,50.0,7.5,,,,,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun,Gallup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul,Gallup,41.5,49.5,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug,Gallup,41.5,49.0,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep,Gallup,40.5,48.5,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sep,Gallup,33.5,52.0,14.0,,,,,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Oct,Gallup,37.0,49.0,13.0,,37.0,42.0,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nov,Gallup,36.0,48.5,14.5,,,,,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nov,Gallup,38.5,49.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Dec,Gallup,41.5,47.5,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958.0,Jan,Gallup,40.0,47.5,12.0,,38.0,42.0,,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Feb,Gallup,36.0,44.5,18.5,,,,,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Mar,Gallup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Apr,Gallup,38.0,46.5,15.0,,,,,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,Gallup,34.0,47.0,19.0,,,,,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,May,Gallup,39.0,45.5,15.0,,30.0,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jun,Gallup,39.5,43.0,17.0,,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Jul,Gallup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Aug,Gallup,42.5,42.0,15.0,,41.0,35.0,,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
